gene_id	gene_symbol	cluster
FBgn0000339	cni	2
FBgn0000346	comt	2
FBgn0000351	cort	2
FBgn0000352	cos	2
FBgn0000357	Cp18	2
FBgn0000370	crc	2
FBgn0000376	crm	2
FBgn0000377	crn	2
FBgn0000382	csw	2
FBgn0000384	cta	2
FBgn0000394	cv	2
FBgn0000395	cv-2	2
FBgn0000404	CycA	2
FBgn0000405	CycB	2
FBgn0000411	D	1
FBgn0000412	D1	2
FBgn0000414	Dab	2
FBgn0000416	Sap-r	2
FBgn0000422	Ddc	3
FBgn0000426	SmF	2
FBgn0000447	Dhod	2
FBgn0000449	dib	2
FBgn0000454	Dip-B	2
FBgn0000455	Dip-C	2
FBgn0000459	disco	2
FBgn0000463	Delta	2
FBgn0000482	dor	2
FBgn0000490	dpp	2
FBgn0000492	Dr	2
FBgn0000499	dsh	2
FBgn0000504	dsx	2
FBgn0000520	dwg	2
FBgn0000524	dx	2
FBgn0000533	ea	2
FBgn0000536	eas	2
FBgn0000541	E(bx)	2
FBgn0000542	ec	2
FBgn0000543	ecd	2
FBgn0000546	EcR	2
FBgn0000547	ed	2
FBgn0000551	Edg78E	2
FBgn0000557	eEF1alpha2	2
FBgn0000559	eEF2	2
FBgn0000560	eg	2
FBgn0000562	egl	2
FBgn0000565	MsrA	2
FBgn0000566	Cth	2
FBgn0000567	Eip74EF	2
FBgn0000568	Eip75B	2
FBgn0000575	emc	2
FBgn0000576	ems	2
FBgn0000577	en	2
FBgn0000578	ena	2
FBgn0000579	Eno	2
FBgn0000581	E(Pc)	2
FBgn0000588	esc	2
FBgn0000591	E(spl)m8-HLH	2
FBgn0000611	exd	2
FBgn0000615	exu	2
FBgn0000617	Taf9	2
FBgn0000618	e(y)2	2
FBgn0000625	eyg	2
FBgn0000629	E(z)	2
FBgn0000635	Fas2	2
FBgn0000636	Fas3	2
FBgn0000639	Fbp1	1
FBgn0000640	Fbp2	1
FBgn0000644	Fcp3C	2
FBgn0000658	fj	2
FBgn0000662	fl(2)d	2
FBgn0000667	Actn	2
FBgn0000709	fliI	2
FBgn0000711	flw	2
FBgn0000719	fog	2
FBgn0000721	for	2
FBgn0000723	FER	2
FBgn0000808	gd	2
FBgn0000810	fs(1)K10	2
FBgn0000826	png	2
FBgn0000928	fs(1)Yb	2
FBgn0000996	dup	2
FBgn0001075	ft	2
FBgn0001078	ftz-f1	2
FBgn0001079	fu	2
FBgn0001083	fw	2
FBgn0001084	fy	2
FBgn0001085	fz	2
FBgn0001086	fzy	2
FBgn0001087	g	2
FBgn0001089	Gal	1
FBgn0001090	bnb	2
FBgn0001091	Gapdh1	2
FBgn0001092	Gapdh2	2
FBgn0001098	Gdh	2
FBgn0001099	gdl	2
FBgn0001104	Galphai	2
FBgn0001105	Gbeta13F	2
FBgn0001108	DCTN1-p150	2
FBgn0001112	Gld	2
FBgn0001114	Glt	1
FBgn0001122	Galphao	2
FBgn0001123	Galphas	2
FBgn0001124	Got1	2
FBgn0001125	Got2	2
FBgn0001128	Gpdh1	2
FBgn0001133	grau	2
FBgn0001138	grn	2
FBgn0001139	gro	2
FBgn0001142	Gs1	1
FBgn0001145	Gs2	2
FBgn0001148	gsb	2
FBgn0001149	GstD1	2
FBgn0001150	gt	2
FBgn0001168	hry	2
FBgn0001169	H	2
FBgn0001170	H2.0	2
FBgn0001179	hay	2
FBgn0001185	her	2
FBgn0001186	Hex-A	2
FBgn0001189	hfw	2
FBgn0001197	His2Av	2
FBgn0001202	hook	2
FBgn0001206	Hmr	2
FBgn0001208	Hn	2
FBgn0001215	Hrb98DE	2
FBgn0001218	Hsc70-3	2
FBgn0001220	Hsc70-5	2
FBgn0001222	Hsf	2
FBgn0001224	Hsp23	2
FBgn0001225	Hsp26	2
FBgn0001227	Hsp67Ba	2
FBgn0001229	Hsp67Bc	2
FBgn0001230	Hsp68	3
FBgn0001233	Hsp83	2
FBgn0001234	lncRNA:Hsromega	2
FBgn0001235	hth	2
FBgn0001247	Ide	2
FBgn0001248	Idh	2
FBgn0001250	if	2
FBgn0001253	ImpE1	2
FBgn0001254	ImpE2	2
FBgn0001255	ImpE3	2
FBgn0001256	ImpL1	2
FBgn0001257	ImpL2	2
FBgn0001258	Ldh	2
FBgn0001259	in	2
FBgn0001269	inv	2
FBgn0001276	ix	2
FBgn0001280	janA	2
FBgn0001281	janB	2
FBgn0001291	Jra	2
FBgn0001296	kar	2
FBgn0001297	kay	2
FBgn0001301	kel	2
FBgn0001308	Khc	2
FBgn0001311	kkv	2
FBgn0001316	klar	2
FBgn0001319	kn	2
FBgn0001320	kni	2
FBgn0001321	knk	2
FBgn0001323	knrl	2
FBgn0001324	kto	2
FBgn0001330	kz	2
FBgn0001341	Mybbp1A	2
FBgn0001404	egh	2
FBgn0001491	l(1)10Bb	2
FBgn0001565	Ddx56	2
FBgn0001612	Grip91	2
FBgn0001624	dlg1	2
FBgn0001941	ifc	2
FBgn0001942	eIF4A	2
FBgn0001961	Arpc1	2
FBgn0001965	Sos	2
FBgn0001970	Pgant35A	2
FBgn0001977	CIAPIN1	2
FBgn0001978	stc	2
FBgn0001983	wor	2
FBgn0001986	Mtr4	2
FBgn0001987	Gli	2
FBgn0001989	ND-B17	2
FBgn0001990	wek	2
FBgn0001994	crp	2
FBgn0001995	mRpL4	2
FBgn0002021	l(2)37Bb	2
FBgn0002022	Catsup	2
FBgn0002031	Phb1	2
FBgn0002036	CG10561	2
FBgn0002044	swm	2
FBgn0002069	AspRS	2
FBgn0002121	l(2)gl	2
FBgn0002174	CG5504	2
FBgn0002183	dre4	2
FBgn0002283	l(3)73Ah	2
FBgn0002284	Prosbeta6	2
FBgn0002306	sas	2
FBgn0002354	l(3)87Df	2
FBgn0002413	dco	2
FBgn0002431	hyd	2
FBgn0002441	l(3)mbt	2
FBgn0002466	sti	2
FBgn0002524	lace	2
FBgn0002525	Lam	2
FBgn0002526	LanA	2
FBgn0002531	Lcp1	1
FBgn0002533	Lcp2	1
FBgn0002534	Lcp3	1
FBgn0002535	Lcp4	1
FBgn0002542	lds	2
FBgn0002543	robo2	2
FBgn0002552	lin	2
FBgn0002561	l(1)sc	2
FBgn0002562	Lsp1alpha	1
FBgn0002563	Lsp1beta	1
FBgn0002564	Lsp1gamma	2
FBgn0002565	Lsp2	1
FBgn0002566	lt	2
FBgn0002567	Rab32	2
FBgn0002573	sens	2
FBgn0002577	m	2
FBgn0002579	RpL36	2
FBgn0002590	RpS5a	2
FBgn0002592	E(spl)m2-BFM	2
FBgn0002593	RpLP1	2
FBgn0002609	E(spl)m3-HLH	2
FBgn0002622	RpS3	2
FBgn0002626	RpL32	2
FBgn0002629	E(spl)m4-BFM	2
FBgn0002631	E(spl)m5-HLH	2
FBgn0002632	E(spl)m6-BFM	2
FBgn0002633	E(spl)m7-HLH	2
FBgn0002638	Rcc1	2
FBgn0002641	mal	2
FBgn0002643	mam	2
FBgn0002645	Map205	2
FBgn0002673	twe	2
FBgn0002707	mei-9	2
FBgn0002709	mei-218	2
FBgn0002715	mei-S332	2
FBgn0002716	mei-W68	2
FBgn0002719	Men	2
FBgn0002723	Met	2
FBgn0002732	E(spl)malpha-BFM	2
FBgn0002733	E(spl)mbeta-HLH	2
FBgn0002734	E(spl)mdelta-HLH	2
FBgn0002735	E(spl)mgamma-HLH	2
FBgn0002736	mago	2
FBgn0002772	Mlc1	2
FBgn0002773	Mlc2	2
FBgn0002774	mle	2
FBgn0002775	msl-3	2
FBgn0002778	mnd	2
FBgn0002780	mod	2
FBgn0002781	mod(mdg4)	2
FBgn0002783	mor	2
FBgn0002787	Rpn8	2
FBgn0002789	Mp20	2
FBgn0002791	mr	2
FBgn0002868	MtnA	2
FBgn0002872	mu2	2
FBgn0002873	mud	2
FBgn0002878	mus101	2
FBgn0002887	mus201	2
FBgn0002891	PolZ1	2
FBgn0002899	mus301	2
FBgn0002901	mus304	2
FBgn0002905	PolQ	2
FBgn0002906	Blm	2
FBgn0002921	Atpalpha	2
FBgn0002924	ncd	2
FBgn0002930	nec	2
FBgn0002931	net	2
FBgn0002932	neur	2
FBgn0002938	ninaC	2
FBgn0002945	nkd	2
FBgn0002948	nod	2
FBgn0002973	numb	2
FBgn0002985	odd	2
FBgn0002989	okr	2
FBgn0003002	opa	2
FBgn0003008	or	2
FBgn0003016	osp	2
FBgn0003028	ovo	2
FBgn0003041	pbl	2
FBgn0003042	Pc	2
FBgn0003044	Pcl	2
FBgn0003048	pcx	2
FBgn0003053	peb	2
FBgn0003060	CG9757	3
FBgn0003062	Fib	2
FBgn0003071	Pfk	2
FBgn0003074	Pgi	2
FBgn0003076	Pgm1	2
FBgn0003079	Raf	2
FBgn0003082	phr	2
FBgn0003087	pim	2
FBgn0003089	pip	2
FBgn0003090	pk	2
FBgn0003093	Pkc98E	2
FBgn0003116	pn	2
FBgn0003117	pnr	2
FBgn0003118	pnt	2
FBgn0003124	polo	2
FBgn0003130	Poxn	2
FBgn0003134	Pp1alpha-96A	2
FBgn0003137	Ppn	2
FBgn0003139	PpV	2
FBgn0003141	pr	2
FBgn0003149	Prm	2
FBgn0003159	CG2841	2
FBgn0003162	Pu	2
FBgn0003165	pum	2
FBgn0003169	put	2
FBgn0003174	pwn	2
FBgn0003175	px	2
FBgn0003189	r	2
FBgn0003204	ras	2
FBgn0003205	Ras85D	2
FBgn0003206	Ras64B	2
FBgn0003209	raw	2
FBgn0003210	rb	2
FBgn0003218	rdgB	2
FBgn0003227	rec	2
FBgn0003231	ref(2)P	2
FBgn0003255	rk	2
FBgn0003256	rl	3
FBgn0003257	r-l	2
FBgn0003261	Rm62	2
FBgn0003268	rod	2
FBgn0003274	RpLP2	2
FBgn0003275	Polr2F	2
FBgn0003277	Polr2A	2
FBgn0003278	Polr1B	2
FBgn0003279	RpL4	2
FBgn0003285	rst	2
FBgn0003292	rt	2
FBgn0003301	Adcy1	2
FBgn0003302	rux	2
FBgn0003310	S	2
FBgn0003312	sad	2
FBgn0003317	sax	2
FBgn0003319	Sb	2
FBgn0003321	sbr	2
FBgn0003326	sca	2
FBgn0003330	Sce	2
FBgn0003334	Scm	2
FBgn0003345	sd	2
FBgn0003346	RanGAP	2
FBgn0003353	sei	2
FBgn0003356	Jon99Cii	1
FBgn0003357	Jon99Ciii	1
FBgn0003360	sesB	2
FBgn0003371	sgg	2
FBgn0003373	Sgs3	1
FBgn0003374	Sgs4	1
FBgn0003375	Sgs5	1
FBgn0003377	Sgs7	2
FBgn0003378	Sgs8	2
FBgn0003390	shf	2
FBgn0003391	shg	2
FBgn0003392	shi	2
FBgn0003396	shn	2
FBgn0003401	shu	2
FBgn0003410	sina	2
FBgn0003415	skd	2
FBgn0003416	sl	2
FBgn0003423	slgA	2
FBgn0003430	slp1	2
FBgn0003444	smo	2
FBgn0003447	sn	2
FBgn0003449	snf	2
FBgn0003459	stwl	2
FBgn0003460	so	2
FBgn0003462	Sod1	2
FBgn0003463	sog	2
FBgn0003464	sol	2
FBgn0003475	spir	2
FBgn0003479	spn-A	2
FBgn0003480	spn-B	2
FBgn0003482	spn-D	2
FBgn0003483	spn-E	2
FBgn0003499	sr	2
FBgn0003502	Btk	2
FBgn0003512	Sry-delta	2
FBgn0003513	ss	2
FBgn0003514	sqh	2
FBgn0003517	sta	2
FBgn0003520	stau	2
FBgn0003525	stg	2
FBgn0003545	sub	2
FBgn0003557	Su(dx)	2
FBgn0003559	su(f)	2
FBgn0003567	su(Hw)	2
FBgn0003575	su(sable)	2
FBgn0003598	Su(var)3-7	2
FBgn0003607	Su(var)205	2
FBgn0003612	Su(var)2-10	2
FBgn0003638	su(w[a])	2
FBgn0003651	svp	2
FBgn0003654	sw	2
FBgn0003656	sws	2
FBgn0003660	Syb	2
FBgn0003676	CCT1	2
FBgn0003687	Tbp	2
FBgn0003701	thr	2
FBgn0003714	tko	2
FBgn0003716	tkv	2
FBgn0003719	tld	2
FBgn0003721	Tm1	2
FBgn0003731	Egfr	2
FBgn0003733	tor	1
FBgn0003741	tra	2
FBgn0003742	tra2	2
FBgn0003744	trc	2
FBgn0003748	Treh	2
FBgn0003862	trx	2
FBgn0003863	alphaTry	1
FBgn0003866	tsh	2
FBgn0003867	tsl	2
FBgn0003870	ttk	2
FBgn0003882	tub	2
FBgn0003884	alphaTub84B	2
FBgn0003885	alphaTub84D	2
FBgn0003886	alphaTub85E	1
FBgn0003891	tud	2
FBgn0003892	ptc	2
FBgn0003896	tup	2
FBgn0003900	twi	2
FBgn0003916	snRNA:U1:21D	2
FBgn0003920	snRNA:U2:14B	2
FBgn0003922	snRNA:U2:38ABa	2
FBgn0003923	snRNA:U2:38ABb	3
FBgn0003930	snRNA:U4:39B	2
FBgn0003933	snRNA:U5:14B	2
FBgn0003934	snRNA:U5:23D	2
FBgn0003935	snRNA:U5:34A	2
FBgn0003938	snRNA:U5:63BC	2
FBgn0003941	RpL40	2
FBgn0003942	RpS27A	2
FBgn0003943	Ubi-p63E	2
FBgn0003950	unc	2
FBgn0003963	ush	2
FBgn0003964	usp	2
FBgn0003969	vap	2
FBgn0003975	vg	2
FBgn0003977	vir	2
FBgn0003978	vls	2
FBgn0003984	vn	2
FBgn0003996	w	2
FBgn0003997	hid	2
FBgn0004003	wbl	2
FBgn0004049	yrt	2
FBgn0004050	z	2
FBgn0004055	uzip	2
FBgn0004057	G6pd	2
FBgn0004066	Prosalpha4	2
FBgn0004087	Dhfr	2
FBgn0004101	bs	2
FBgn0004103	Pp1-87B	2
FBgn0004106	Cdk1	2
FBgn0004107	Cdk2	2
FBgn0004108	Nrt	2
FBgn0004117	Tm2	2
FBgn0004132	boca	2
FBgn0004133	blow	2
FBgn0004167	kst	2
FBgn0004169	up	2
FBgn0004170	sc	2
FBgn0004177	mts	2
FBgn0004179	Csp	2
FBgn0004183	snRNA:U1:82Eb	2
FBgn0004185	snRNA:U1:95Ca	2
FBgn0004186	snRNA:U1:95Cb	2
FBgn0004187	snRNA:U1:95Cc	2
FBgn0004188	snRNA:U6:96Aa	2
FBgn0004189	snRNA:U6:96Ab	2
FBgn0004190	snRNA:U6:96Ac	2
FBgn0004191	snRNA:U2:34ABa	2
FBgn0004192	snRNA:U2:34ABb	2
FBgn0004197	Ser	2
FBgn0004198	ct	2
FBgn0004227	nonA	2
FBgn0004237	Hrb87F	2
FBgn0004240	DptA	2
FBgn0004359	T48	2
FBgn0004360	Wnt2	2
FBgn0004362	HmgD	2
FBgn0004363	porin	2
FBgn0004367	mei-41	2
FBgn0004368	Ptp4E	2
FBgn0004369	Ptp99A	2
FBgn0004370	Ptp10D	2
FBgn0004373	fwd	2
FBgn0004374	neb	2
FBgn0004378	Klp61F	2
FBgn0004379	Klp67A	2
FBgn0004380	Klp64D	2
FBgn0004381	Klp68D	2
FBgn0004387	Klp98A	2
FBgn0004390	RasGAP1	2
FBgn0004391	shtd	2
FBgn0004394	pdm2	2
FBgn0004395	unk	2
FBgn0004396	CrebA	2
FBgn0004397	Vinc	2
FBgn0004401	Pep	2
FBgn0004403	RpS14a	2
FBgn0004404	RpS14b	2
FBgn0004406	PolG1	2
FBgn0004419	me31B	2
FBgn0004427	LysD	1
FBgn0004430	LysS	1
FBgn0004432	Cyp1	2
FBgn0004435	Galphaq	2
FBgn0004436	Ubc6	2
FBgn0004449	Ten-m	2
FBgn0004456	mew	2
FBgn0004463	Polr3B	2
FBgn0004465	mPges2	2
FBgn0004507	Glyp	2
FBgn0004509	Fur1	2
FBgn0004510	Ets97D	2
FBgn0004511	dy	2
FBgn0004512	Mdr49	2
FBgn0004513	Mdr65	2
FBgn0004552	Akh	2
FBgn0004554	Edg91	2
FBgn0004556	Dbp73D	2
FBgn0004567	slp2	2
FBgn0004569	aos	2
FBgn0004574	Rop	2
FBgn0004581	bgcn	2
FBgn0004583	ex	2
FBgn0004584	Rrp1	2
FBgn0004587	B52	2
FBgn0004597	CycC	2
FBgn0004598	Fur2	2
FBgn0004606	zfh1	2
FBgn0004611	Plc21C	2
FBgn0004629	Cys	2
FBgn0004635	rho	2
FBgn0004636	Rap1	2
FBgn0004638	drk	2
FBgn0004643	Zw10	2
FBgn0004644	hh	2
FBgn0004646	ogre	2
FBgn0004647	N	2
FBgn0004648	svr	2
FBgn0004652	fru	2
FBgn0004654	Pgd	2
FBgn0004655	wapl	2
FBgn0004656	fs(1)h	2
FBgn0004657	mys	2
FBgn0004687	Mlc-c	2
FBgn0004698	Xpc	2
FBgn0004797	mdy	2
FBgn0004811	fs(2)ltoPP43	2
FBgn0004828	His3.3B	2
FBgn0004832	Xpac	2
FBgn0004837	Su(H)	2
FBgn0004838	Hrb27C	2
FBgn0004839	otk	2
FBgn0004854	B-H2	2
FBgn0004855	Polr2I	2
FBgn0004856	Bx42	2
FBgn0004858	elB	2
FBgn0004860	ph-d	2
FBgn0004861	ph-p	2
FBgn0004863	C15	2
FBgn0004864	hop	2
FBgn0004865	Eip78C	2
FBgn0004867	RpS2	2
FBgn0004868	Gdi	3
FBgn0004872	piwi	2
FBgn0004875	enc	2
FBgn0004876	cdi	2
FBgn0004885	tok	2
FBgn0004888	Scsalpha1	2
FBgn0004889	tws	2
FBgn0004892	sob	2
FBgn0004893	bowl	2
FBgn0004897	fd96Ca	2
FBgn0004898	fd96Cb	2
FBgn0004901	Prat	2
FBgn0004903	Rb97D	2
FBgn0004907	14-3-3zeta	2
FBgn0004908	Arl2	2
FBgn0004913	Gnf1	2
FBgn0004914	Hnf4	2
FBgn0004915	TfIIB	2
FBgn0004921	Ggamma1	2
FBgn0004924	Top1	2
FBgn0004926	eIF2beta	2
FBgn0004956	upd1	2
FBgn0004957	por	2
FBgn0004959	phtm	2
FBgn0005198	gig	2
FBgn0005278	Sams	2
FBgn0005322	nmd	2
FBgn0005355	Su(fu)	2
FBgn0005386	ash1	2
FBgn0005411	U2af50	2
FBgn0005427	ewg	2
FBgn0005533	RpS17	2
FBgn0005536	Mbs	2
FBgn0005585	Calr	2
FBgn0005586	Rab3	2
FBgn0005593	RpL7	2
FBgn0005596	yem	2
FBgn0005612	Sox14	2
FBgn0005613	Sox15	2
FBgn0005616	msl-2	2
FBgn0005617	msl-1	2
FBgn0005624	Psc	2
FBgn0005626	ple	3
FBgn0005631	robo1	2
FBgn0005632	faf	2
FBgn0005636	nvy	2
FBgn0005640	Eip63E	2
FBgn0005642	wdn	2
FBgn0005648	Pabp2	2
FBgn0005649	Rox8	2
FBgn0005655	PCNA	2
FBgn0005659	Ets98B	2
FBgn0005660	Ets21C	2
FBgn0005671	Vha55	2
FBgn0005672	spi	2
FBgn0005674	GluProRS	2
FBgn0005677	dac	2
FBgn0005683	pie	2
FBgn0005694	Aef1	2
FBgn0005695	gcl	2
FBgn0005696	PolA2	2
FBgn0005771	noc	2
FBgn0005777	PpD3	2
FBgn0008635	betaCOP	2
FBgn0008646	E5	2
FBgn0010038	GstD2	2
FBgn0010039	GstD3	2
FBgn0010040	GstD4	2
FBgn0010041	GstD5	2
FBgn0010051	Itpr	2
FBgn0010053	Jheh1	2
FBgn0010078	RpL23	2
FBgn0010100	mAcon1	2
FBgn0010105	comm	2
FBgn0010109	dpn	2
FBgn0010113	heca	2
FBgn0010114	hig	1
FBgn0010173	RPA1	2
FBgn0010194	Wnt5	2
FBgn0010198	RpS15Aa	2
FBgn0010213	Sod2	2
FBgn0010215	alpha-Cat	2
FBgn0010220	Dbp45A	2
FBgn0010222	Nmdmc	2
FBgn0010225	Gel	2
FBgn0010226	GstS1	2
FBgn0010228	HmgZ	2
FBgn0010235	Klc	2
FBgn0010238	Lac	2
FBgn0010246	Myo61F	2
FBgn0010247	Parp1	2
FBgn0010258	Rbp4	2
FBgn0010265	RpS13	2
FBgn0010269	Dsor1	2
FBgn0010278	Ssrp	2
FBgn0010280	Taf4	2
FBgn0010282	TfIIFalpha	2
FBgn0010287	Trf	2
FBgn0010288	Uch	2
FBgn0010292	bys	2
FBgn0010300	brat	2
FBgn0010303	hep	2
FBgn0010309	pigeon	2
FBgn0010313	corto	2
FBgn0010314	Cks30A	2
FBgn0010315	CycD	2
FBgn0010316	dap	2
FBgn0010328	woc	2
FBgn0010333	Rac1	2
FBgn0010339	128up	2
FBgn0010340	Timmdc1	2
FBgn0010341	Cdc42	2
FBgn0010342	Map60	2
FBgn0010348	Arf1	2
FBgn0010350	Cds	2
FBgn0010352	Ogdh1	2
FBgn0010355	Taf1	2
FBgn0010356	Taf5	2
FBgn0010358	deltaTry	1
FBgn0010359	gammaTry	1
FBgn0010379	Akt	2
FBgn0010380	AP-1-2beta	2
FBgn0010382	CycE	2
FBgn0010383	Cyp18a1	2
FBgn0010385	Def	2
FBgn0010389	htl	2
FBgn0010391	SrpRalpha	2
FBgn0010397	LamC	2
FBgn0010398	Lrr47	2
FBgn0010401	Os-C	2
FBgn0010406	RNaseX25	2
FBgn0010407	Ror	2
FBgn0010408	RpS9	2
FBgn0010409	RpL18A	2
FBgn0010411	RpS18	2
FBgn0010412	RpS19a	2
FBgn0010414	SerT	1
FBgn0010415	Sdc	2
FBgn0010416	TH1	2
FBgn0010417	Taf6	2
FBgn0010421	TfIIFbeta	2
FBgn0010422	TfIIS	2
FBgn0010423	TpnC47D	3
FBgn0010424	TpnC73F	2
FBgn0010431	mtrm	2
FBgn0010433	ato	2
FBgn0010434	cora	2
FBgn0010435	emp	2
FBgn0010438	mtSSB	2
FBgn0010441	pll	2
FBgn0010452	trn	2
FBgn0010453	Wnt4	2
FBgn0010470	Fkbp14	2
FBgn0010473	tutl	2
FBgn0010488	NAT1	2
FBgn0010497	dmGlut	2
FBgn0010501	Dcp-1	2
FBgn0010504	kermit	2
FBgn0010516	wal	2
FBgn0010520	Bka	2
FBgn0010531	Ccs	2
FBgn0010548	Aldh-III	2
FBgn0010549	l(2)03659	2
FBgn0010551	Phb2	2
FBgn0010583	dock	2
FBgn0010590	Prosbeta1	2
FBgn0010591	Sply	2
FBgn0010602	lwr	2
FBgn0010607	l(2)05714	2
FBgn0010611	Hmgs	2
FBgn0010612	ATPsynG	2
FBgn0010620	CG10939	2
FBgn0010621	CCT5	2
FBgn0010622	DCTN3-p24	2
FBgn0010638	Sec61beta	2
FBgn0010651	MFS14	2
FBgn0010660	Nup214	2
FBgn0010741	Pfdn2	2
FBgn0010747	Srp54k	2
FBgn0010750	atms	2
FBgn0010762	simj	2
FBgn0010768	sqz	2
FBgn0010770	ppan	2
FBgn0010772	Xe7	2
FBgn0010774	Ref1	2
FBgn0010786	Hmbs	2
FBgn0010803	TrpRS	2
FBgn0010808	Chchd3	2
FBgn0010825	Gug	2
FBgn0010830	l(3)04053	2
FBgn0010877	l(3)05822	2
FBgn0010894	sinu	2
FBgn0010905	Spn	2
FBgn0010909	msn	2
FBgn0010926	l(3)07882	2
FBgn0011016	SsRbeta	2
FBgn0011020	Sas-4	2
FBgn0011202	dia	2
FBgn0011204	cue	2
FBgn0011205	fbl	2
FBgn0011207	pelo	2
FBgn0011211	blw	2
FBgn0011217	eff	2
FBgn0011224	heph	2
FBgn0011225	jar	2
FBgn0011227	ox	2
FBgn0011230	poe	2
FBgn0011232	scat	2
FBgn0011236	ken	2
FBgn0011259	Sema1a	2
FBgn0011260	Sema2a	2
FBgn0011272	RpL13	2
FBgn0011274	Dif	2
FBgn0011279	Obp69a	2
FBgn0011284	RpS4	2
FBgn0011289	TfIIA-L	2
FBgn0011290	Taf12	2
FBgn0011291	Taf11	2
FBgn0011296	l(2)efl	3
FBgn0011297	Alg3	2
FBgn0011300	babo	2
FBgn0011305	Rsf1	2
FBgn0011327	Uch-L5	2
FBgn0011335	vers	2
FBgn0011336	Stt3B	2
FBgn0011361	ND-ACP	2
FBgn0011455	ND-SGDH	2
FBgn0011474	Set8	2
FBgn0011476	l(3)neo43	2
FBgn0011481	Ssdp	2
FBgn0011509	SrpRbeta	2
FBgn0011566	Smyd3	2
FBgn0011570	cpb	2
FBgn0011573	Cdc37	2
FBgn0011576	Cyp4d2	2
FBgn0011584	Trp1	2
FBgn0011586	e(r)	2
FBgn0011591	fng	2
FBgn0011592	fra	2
FBgn0011603	ine	3
FBgn0011604	Iswi	2
FBgn0011606	Klp3A	2
FBgn0011638	La	2
FBgn0011640	lark	2
FBgn0011648	Mad	2
FBgn0011653	mas	2
FBgn0011656	Mef2	2
FBgn0011659	Mlh1	2
FBgn0011660	Pms2	2
FBgn0011661	Moe	2
FBgn0011666	msi	2
FBgn0011672	Mvl	2
FBgn0011674	insc	2
FBgn0011692	pav	2
FBgn0011695	EbpIII	2
FBgn0011703	RnrL	2
FBgn0011704	RnrS	2
FBgn0011705	rost	2
FBgn0011706	rpr	2
FBgn0011708	Syx5	2
FBgn0011710	Septin1	2
FBgn0011715	Snr1	2
FBgn0011722	Tig	2
FBgn0011725	twin	2
FBgn0011726	tsr	2
FBgn0011737	Wee1	2
FBgn0011739	wts	2
FBgn0011740	alpha-Man-IIa	2
FBgn0011741	Arp6	2
FBgn0011742	Arp2	2
FBgn0011745	Arp1	2
FBgn0011746	ana	2
FBgn0011754	PhKgamma	2
FBgn0011758	B-H1	2
FBgn0011760	ctp	2
FBgn0011762	Prim1	2
FBgn0011763	Dp	2
FBgn0011766	E2f1	2
FBgn0011768	Fdh	2
FBgn0011769	Fdx1	2
FBgn0011770	Gip	2
FBgn0011771	Hem	2
FBgn0011774	Irbp	2
FBgn0011785	BRWD3	2
FBgn0011787	mRpL12	2
FBgn0011802	Gem3	2
FBgn0011817	nmo	2
FBgn0011818	oaf	2
FBgn0011824	Gar1	2
FBgn0011826	Pp2B-14D	2
FBgn0011828	Pxn	1
FBgn0011836	Taf2	2
FBgn0011837	Tis11	2
